country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
canada,2259.294285,2240.433039,2268.585346,2374.498448,2555.111146,2770.361804,3047.106147,3217.159294,3462.678872,3763.953379,4121.932814,4520.162878,5089.587902,5838.660894,7033.011021,7511.211343,8809.26466,8919.057461,9123.691334,10043.66096,11170.56397,12337.46625,12481.87479,13425.12249,13877.91708,14114.80776,14461.06924,16308.96697,18936.9641,20715.63148,21448.36196,21768.34329,20879.84833,20121.16125,19935.38146,20613.78788,21227.34753,31222.72482,31830.61711,32826.53081,34121.60919,34227.34175,35015.79497,36024.09924,37086.4493,38573.19977,39776.17947,42097.43512,42063.63305,40368.29204,41155.32364,42036.99784,42315.80739,42846.2842,43635.09548,43596.13554,43536.9134,44325.48834,44917.48373,45109.24449,42258.69102
germany,,,,,,,,,,,17894.29669,18421.04218,19121.49789,19972.02541,20141.93948,20041.94799,21124.2557,21880.80763,22558.71479,23484.59919,23766.10765,23855.52586,23783.94549,24221.34037,24991.33368,25630.333,26204.58958,26531.22971,27407.52007,28256.10622,29485.70997,30766.92896,31121.07057,30615.14021,31238.87906,31628.15981,31790.86686,32313.29707,32959.07357,33559.39937,34490.07577,35011.06846,34883.05807,34619.66407,35034.08061,35310.47047,36699.44678,37842.35779,38278.31301,36190.39289,37760.91363,39977.34171,40069.35396,40135.01583,40851.16173,41103.25644,41682.03224,42639.55441,42973.28996,43329.05069,41315.31357
eu,,,,,,,1339.628203,1444.856918,1536.75043,1701.377805,13282.27246,13691.69584,14247.88136,15006.96083,15376.78144,15184.14697,15841.24066,16217.49265,16635.78046,17204.19784,17482.67851,17500.23607,17584.71208,17792.79889,18194.67266,18578.07722,19005.64236,19427.25472,20170.41366,20889.65898,21524.01775,21859.11701,22048.29099,21850.59571,22374.30408,22926.63681,23319.85731,23902.58846,24589.2538,25272.53539,26226.74019,26761.85093,26996.85488,27145.25242,27744.52069,28178.26284,29068.14991,29884.63157,29979.9053,28608.64691,29211.42651,29807.1297,29552.96001,29471.82574,29861.48068,30485.02881,31031.35558,31854.49799,32459.43525,33028.28242,31041.6385
france,11176.41275,11579.31137,12200.16471,12779.87775,13450.61308,13938.2009,14520.90271,15101.81773,15656.83272,16644.30286,17526.4742,18312.54296,18985.76715,20033.01204,20744.7098,20416.38075,21192.45037,21826.91806,22602.29382,23308.6779,23571.76012,23708.23133,24176.31455,24343.13013,24573.93015,24832.96918,25270.01817,25769.73094,26840.04986,27854.60786,28523.57745,28663.28408,28977.26209,28670.59917,29237.70632,29746.00547,30059.69499,30653.35285,31636.56722,32551.08307,33597.36624,34015.38092,34152.36589,34190.30293,34899.87638,35213.89309,35825.74858,36468.09788,36357.32251,35131.44914,35639.80406,36245.54279,36183.48799,36205.16782,36378.61866,36652.92231,36956.7958,37694.0833,38291.86578,38912.33126,35785.96701
uk,14914.88076,15198.15342,15235.9237,15859.44911,16628.57608,16876.01736,17047.25246,17428.15838,18287.2057,18561.72829,19655.91197,20259.99991,21064.02939,22394.90637,21824.75956,21504.73542,22136.0261,22687.53142,23640.10723,24504.38143,23977.93242,23780.76543,24263.86114,25279.62431,25812.36211,26821.96598,27602.94391,29029.7048,30625.72334,31333.46197,31469.16129,31025.92262,31066.23555,31763.48943,32901.2473,33645.0733,34374.52022,35969.21495,36995.70943,37975.09986,39229.26846,39888.49926,40563.33732,41598.21174,42336.55418,43137.25515,43927.88602,44576.36766,44120.92954,41928.60985,42487.92541,42771.64112,43099.59735,43621.05923,44596.18975,45404.56777,46081.71529,46746.64189,47231.33689,47750.87966,43020.20346
italy,9687.647006,10412.90484,10984.31067,11516.17676,11741.37937,12023.41272,12644.32138,13454.27585,14244.52546,15027.85749,15736.18363,15947.72206,16442.65799,17495.28505,18337.16058,17846.97455,19023.50417,19427.91106,19986.06258,21115.91946,21795.25452,21952.88486,22027.35453,22276.81238,22990.29033,23626.74927,24301.14338,25074.26732,26113.35552,26977.93266,27490.63204,27894.24279,28107.85903,27851.12136,28444.41025,29265.08905,29627.48695,30153.77518,30690.91172,31184.61639,32350.90437,32963.67061,32998.20319,32897.39078,33150.47622,33257.7698,33751.70002,34081.09033,33530.36014,31615.27081,32058.17399,32229.45679,31184.55843,30257.62743,29979.91872,30242.38614,30685.6459,31244.2271,31593.48026,32090.99471,29359.92669
japan,6260.67597,6952.109597,7501.445444,8055.041395,8902.495553,9319.706558,10217.41421,11232.9061,12537.88089,13935.68627,14122.30527,14465.00452,15463.88537,16472.59826,16055.86801,16342.92054,16811.43581,17380.44923,18130.98572,18964.0625,19345.31902,20013.30719,20533.3136,21109.36639,21917.15478,22920.24698,23556.95329,24552.71552,26109.75048,27268.94317,28508.39127,29367.07803,29506.40224,29258.58199,29466.75525,30171.16379,31046.17015,31276.19308,30795.08889,30636.26612,31430.63113,31476.05207,31416.12418,31830.21758,32515.1158,33098.54747,33531.51856,33990.03603,33557.6454,31651.08377,32942.20208,33011.13423,33518.44494,34239.88625,34386.90586,34960.63938,35264.81336,35914.64127,36188.62003,36362.35732,34813.21561
russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8105.888408,7849.512403,7432.015509,6345.906672,5798.909737,5071.738615,4862.642272,4686.858832,4760.335223,4515.50564,4819.376403,5323.662359,5618.950846,5910.166842,6370.448579,6856.67259,7323.379289,7949.890356,8640.398801,9093.692616,8381.861175,8755.113368,9124.467601,9475.682559,9621.509885,9520.940335,9313.013625,9313.968066,9473.180096,9739.899916,9942.374057,9666.814664
us,19135.26818,19253.54733,20116.23512,20701.26995,21599.81871,22696.67858,23894.40815,24226.52879,25137.16024,25664.37943,25279.18879,25783.66035,26850.61316,28097.06044,27691.02017,27362.99749,28564.63337,29586.43221,30895.03555,31523.40568,31142.19368,31620.63752,30755.94914,31872.99885,33884.87597,34986.35687,35864.82439,36775.29726,37965.13115,38989.49367,39278.59535,38715.26169,39526.9708,40082.60482,41189.23836,41794.19221,42869.24717,44212.16704,45658.1366,47282.28468,48689.03129,48690.80794,49081.35879,50053.6241,51476.48879,52796.08982,53782.29729,54272.71955,53688.36514,51869.70631,52759.99808,53190.23112,53989.24834,54604.13005,55574.35682,56863.3715,57418.93385,58387.77581,59821.59227,60836.77145,58203.37901
