country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
canada,,1.119386965,5.445858236,3.405212917,4.650755482,4.409518317,4.735675775,1.25281683,3.315250035,3.626733255,10.39953598,0.949749286,4.291959911,5.537503091,1.848524726,-0.008760948,4.494597759,2.23471474,2.656504455,2.689802822,0.846602873,2.20571769,-4.332146564,1.592134018,4.913348994,3.784695824,1.134639872,2.710105016,3.065042583,0.497585215,-1.334143873,-3.295391679,-0.287031434,1.538861002,3.356226778,1.63680941,0.562467857,-4.796136405,1.94695464,3.128791684,3.945218564,0.309869781,2.303577137,2.879569828,2.948998271,4.008877889,3.118693069,5.835793375,-0.080294839,-4.030419849,1.949628189,2.142309009,0.663247995,1.253613813,1.841026124,-0.089285801,-0.135842621,1.811278917,1.335564285,0.426917853,-6.31922237
germany,,,,,,,,,,,,2.943650177,3.802476016,4.448017199,0.850760324,-0.496434235,5.400212111,3.581437112,3.098181629,4.104331342,1.198693908,0.376242533,-0.300057816,1.839034184,3.178987194,2.556883607,2.240534998,1.246499686,3.302863722,3.09618,4.351639054,4.345220055,1.151046332,-1.625684284,2.03735421,1.246141876,0.514437285,1.643334273,1.998485321,1.821428031,2.773221251,1.510558261,-0.365628327,-0.755077167,1.197055352,0.788917116,3.933610331,3.114245883,1.152029742,-5.454577169,4.339606777,5.869635737,0.230160993,0.163870563,1.784341886,0.617105353,1.408102075,2.297206047,0.782690047,0.827864779,-4.647544976
eu,,,,,,,,,,,,3.082479908,4.062210595,5.327665571,2.464327108,-1.25276193,4.327498242,2.375142128,2.5792385,3.416836262,1.618678632,0.10042829,0.482713555,1.183339289,2.258631552,2.107235317,2.301449874,2.218353654,3.82534204,3.56584316,3.03671196,1.556862013,0.865423707,-0.89664671,2.396769283,2.468602944,1.715125084,2.498862421,2.8727656,2.778781341,3.775659179,2.040325004,0.878130382,0.549684549,2.207635683,1.563343461,3.158062208,2.808853189,0.318805093,-4.57392502,2.106983959,2.039281422,-0.852714434,-0.274538554,1.322126916,2.088135334,1.792114988,2.652615054,1.89906387,1.752486334,-6.014977977
france,,3.60490103,5.361746593,4.751682079,5.248370483,3.625023063,4.180609921,4.000543404,3.675153581,6.306959748,5.300139907,4.485036456,3.676300973,5.515947182,3.55262483,-1.5827122,3.801210588,2.993838261,3.552383122,3.125276098,1.128687868,0.578960627,1.974348955,0.689995895,0.948111517,1.054121301,1.759954642,1.9774927,4.153395783,3.780015355,2.401647822,0.489793535,1.095401359,-1.058288111,1.978009422,1.738505551,1.054560163,1.97492975,3.20752635,2.890692418,3.214280673,1.24418882,0.402714806,0.111081739,2.075364595,0.89976454,1.737540033,1.792982211,-0.303759657,-3.371737206,1.447008132,1.699612965,-0.17120673,0.05991638,0.479077572,0.754024352,0.829056665,1.994998447,1.585878806,1.620358453,-8.034379209
uk,,1.899261982,0.248518863,4.09246874,4.849644927,1.488048483,1.014665361,2.234412369,4.929076844,1.501172983,5.894837292,3.07331424,3.968556176,6.318244977,-2.545877184,-1.46633523,2.935589163,2.491437803,4.198675446,3.65596566,-2.148387264,-0.822285228,2.031455683,4.186321252,2.107380195,3.911319176,2.911710255,5.168872171,5.49788071,2.310928689,0.433081174,-1.408485804,0.129933044,2.2444106,3.581967511,2.26078359,2.168064564,4.63917671,2.853813973,2.647308136,3.302607784,1.680456503,1.691811111,2.551255625,1.774937925,1.891275729,1.832826085,1.476241412,-1.021703087,-4.96888827,1.333971159,0.667756093,0.766760919,1.209899645,2.235458153,1.812661638,1.491364299,1.442929368,1.036855219,1.099995912,-9.906992784
italy,,7.486418839,5.48747777,4.842052489,1.95553271,2.402046147,5.164163281,6.405677604,5.873594596,5.499179506,4.713420689,1.344280395,3.103489778,6.401805944,4.812013821,-2.673183923,6.592319726,2.125827506,2.872936349,5.653223991,3.217170144,0.7232324,0.33922499,1.132491162,3.202782973,2.768381475,2.854366887,3.181430303,4.144042124,3.310861935,1.900439827,1.468175611,0.765807599,-0.913401722,2.130215476,2.885202351,1.23832837,1.776351224,1.781324374,1.608634731,3.739946533,1.894123995,0.104759514,-0.305508789,0.769317663,0.323656244,1.48515736,0.975922133,-1.615940627,-5.711508383,1.400915343,0.53428744,-3.24206012,-2.9724038,-0.91781388,0.875477402,1.465690444,1.820333852,1.11781662,1.574737716,-8.510387567
japan,,11.04407304,7.901714421,7.379857063,10.52079209,4.686450016,9.632359631,9.938834499,11.61742815,11.14865732,1.339144648,2.426652357,6.905499722,6.523023596,-2.5298392,1.787835642,2.866778098,3.384680714,4.318280115,4.594768307,2.010415857,3.452970521,2.598303276,2.805454582,3.826682341,4.576744575,2.77792081,4.227041673,6.341599796,4.439692721,4.545273687,3.012049185,0.474423127,-0.839886381,0.71149468,2.390519558,2.900141234,0.740905953,-1.538244076,-0.51574059,2.592891087,0.14451169,-0.190392014,1.318091962,2.151723329,1.794339801,1.308127183,1.367422326,-1.272109949,-5.68145234,4.079223048,0.209251803,1.536786659,2.152371066,0.429381123,1.668465117,0.870046945,1.842709058,0.76286091,0.4800882,-4.260289561
russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.162836601,-5.318762139,-14.61392049,-8.619681361,-12.53979033,-4.122774419,-3.614977841,1.567710782,-5.143116441,6.72949582,10.463718,5.546717048,5.182746813,7.787965202,7.632492501,6.806606168,8.554944957,8.685760611,5.246214033,-7.827749092,4.453094432,4.218725874,3.849155632,1.538963817,-1.045257463,-2.183888387,0.010248462,1.709389916,2.815525692,2.078811309,-2.771565332
us,,0.618121193,4.480669354,2.908271948,4.340548963,5.07809761,5.277113858,1.389951286,3.758819368,2.097369706,-1.500876487,1.995600248,4.138096749,4.642155759,-1.445134355,-1.184581411,4.391462873,3.577146706,4.422984608,2.033887068,-1.209298266,1.536320272,-2.734569729,3.631979305,6.312167663,3.250656415,2.510885973,2.538623532,3.235416101,2.698166682,0.741486101,-1.434200121,2.096612761,1.405708556,2.760882301,1.468718237,2.572259206,3.13259495,3.27052405,3.557193086,2.975208629,0.003648976,0.802103854,1.980925835,2.84268064,2.563502409,1.867955516,0.911865594,-1.076700085,-3.387435662,1.716400257,0.815453101,1.502187905,1.138896602,1.776837703,2.319441456,0.977012682,1.687321406,2.455679199,1.697011299,-4.328619657
