country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
canada,,1.119386965,5.445858236,3.405212917,4.650755482,4.409518317,4.735675775,1.25281683,3.315250035,3.626733255,10.39953598,0.949749286,4.291959911,5.537503091,1.848524726,-0.008760948,4.494597759,2.23471474,2.656504455,2.689802822,0.846602873,2.20571769,-4.332146564,1.592134018,4.913348994,3.784695824,1.134639872,2.710105016,3.065042583,0.497585215,-1.334143873,-3.295391679,-0.287031434,1.538861002,3.356226778,1.63680941,0.562467857,-4.796136405,1.94695464,3.128791684,3.945218564,0.309869781,2.303577137,2.879569828,2.948998271,4.008877889,3.118693069,5.835793375,-0.080294839,-4.030419849,1.949628189,2.142309009,0.663247995,1.253613813,1.841026124,-0.089285801,-0.135842621,1.945910444,0.597463533,0.218665439
germany,,,,,,,,,,,,2.943650177,3.802476016,4.448017199,0.850760324,-0.496434235,5.400212111,3.581437112,3.098181629,4.104331342,1.198693908,0.376242533,-0.300057816,1.839034184,3.178987194,2.556883607,2.240534998,1.246499686,3.302863722,3.09618,4.351639054,4.345220055,1.151046332,-1.625684284,2.03735421,1.246141876,0.514437285,1.643334273,1.998485321,1.821428031,2.773221251,1.510558261,-0.365628327,-0.755077167,1.197055352,0.788917116,3.933610331,3.114245883,1.152029742,-5.454577169,4.339606777,5.869635737,0.230160993,0.163870563,1.784341886,0.617105353,1.408102075,2.219242851,0.964114716,0.280856539
eu,,,,,,,,,,,,3.108475646,4.088582728,5.351917495,2.466003813,-1.23700296,4.333397457,2.37828145,2.587133328,3.389788165,1.614400028,0.090768715,0.486198776,1.175059293,2.247665454,2.1050342,2.301549775,2.225522777,3.83151553,3.572032346,3.024881472,1.505989574,0.850982939,-0.887770572,2.396769858,2.479469616,1.727385994,2.510046204,2.881083832,2.789278009,3.7790273,2.04958995,0.892463791,0.57248172,2.211009614,1.573256201,3.158900915,2.806563539,0.322701369,-4.551738368,2.067453985,2.013424963,-0.897749164,-0.297803612,1.319411048,2.078049748,1.828508736,2.640891699,1.970494843,1.372205623
france,,3.604821524,5.361788907,4.751705736,5.248320942,3.625025392,4.180641162,4.000518717,3.675163806,6.30695564,5.300164274,4.484974465,3.676370054,5.515941031,3.552609232,-1.582715872,3.801231647,2.993830602,3.552398215,3.125232792,1.128671433,0.578958963,1.97439488,0.689992232,0.948118634,1.054117644,1.759947427,1.977449959,4.15343576,3.779990269,2.401704207,0.489757317,1.095403094,-1.058303169,1.978040426,1.738500376,1.054543221,1.974921278,3.207536702,2.890682248,3.214297735,1.24419212,0.402709909,0.111073709,2.075384202,0.899762871,1.737523986,1.792993391,-0.303770515,-3.371737167,1.44701285,1.699630101,-0.171212878,0.059905728,0.479080617,0.754024352,0.829056665,2.076822489,1.638526675,1.366344012
uk,,1.899261982,0.248518863,4.09246874,4.849644927,1.488048483,1.014665361,2.234412369,4.929076844,1.501172983,3.358252748,3.073314393,3.968556124,6.31824497,-2.545877233,-1.466335302,2.935589242,2.491437823,4.198675323,3.655965792,-2.148387257,-0.822285263,2.031455587,4.186321383,2.107380102,3.911319255,2.911710248,5.16887223,5.497880634,2.310928693,0.433081156,-1.408485768,0.129933032,2.244410589,3.581967474,2.260783622,2.230894663,3.587692583,3.343265622,3.08396176,3.068548101,2.578699193,1.892089809,2.806551752,1.793155647,2.473711779,2.035550362,1.63605844,-1.0628931,-4.969350259,1.153474876,0.749697221,0.775734706,1.457701819,1.854584591,1.547697098,1.148663006,1.202194342,0.728524265,0.894788653
italy,,7.486418839,5.48747777,4.842052489,1.95553271,2.402046147,5.164163281,6.405677604,5.873594596,5.499179506,4.713420689,1.344280395,3.103489778,6.401805944,4.812013821,-2.673183923,6.592319726,2.125827506,2.872936349,5.653223991,3.217170144,0.7232324,0.33922499,1.132491162,3.202782973,2.768381475,2.854366887,3.181430303,4.144042124,3.310861935,1.900439827,1.468175611,0.765807599,-0.913401722,2.130215476,2.885202351,1.23832837,1.776351224,1.781324374,1.608634731,3.739946533,1.894123995,0.104759514,-0.305508789,0.769317663,0.323656244,1.48515736,0.975922133,-1.615940627,-5.711508383,1.400915343,0.53428744,-3.24206012,-2.9724038,-0.91781388,0.875477402,1.465690444,1.820333852,1.136129921,0.549676888
japan,,9.161193628,7.898662484,7.375594935,10.51914086,4.688558624,9.632958038,10.05100008,12.50716501,10.17648681,-0.729590751,3.359757842,6.905499722,7.141982495,-3.092924015,1.45411994,3.208801191,3.389185257,4.323652939,4.599166639,2.014645178,3.442257677,2.613816159,2.819922651,3.84111883,4.591979682,2.698871319,4.216838724,6.330404526,4.429632012,4.535250668,3.097031959,0.598037742,-0.763158161,0.649582771,2.350629364,2.839291738,0.835496803,-1.396708527,-0.433914444,2.607851314,0.164695475,-0.114538322,1.311201372,2.170289266,1.653122597,1.355753419,1.537441316,-1.141424849,-5.404594188,4.173027538,0.069762808,1.657317593,2.147531753,0.507999337,1.330400881,0.637897177,2.33647955,0.526738908,0.864738282
russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.162836601,-5.318762139,-14.61392049,-8.619681361,-12.53979033,-4.122774419,-3.614977841,1.567710782,-5.143116441,6.72949582,10.463718,5.546717048,5.182746813,7.787965202,7.632492501,6.806606168,8.554944957,8.685760611,5.246214034,-7.827749092,4.453094432,4.218725874,3.849155632,1.538963817,-1.045257463,-2.183888387,0.010248462,1.709389224,2.544589763,1.410731282
us,,0.618121193,4.480669354,2.908271948,4.340548963,5.07809761,5.277113858,1.389951286,3.758819368,2.097369706,-1.477265269,1.995610847,4.138084894,4.642152691,-1.445129268,-1.184589274,4.391462801,3.577152792,4.422982369,2.03389197,-1.209300504,1.53631968,-2.734556897,3.631993122,6.312154623,3.250656148,2.510891665,2.538941249,3.235401335,2.698174774,0.741481519,-1.434194515,2.096614698,1.406757912,2.760927547,1.468787269,2.572195767,3.197252954,3.270524042,3.557193094,2.975208624,0.003648984,0.802103845,1.980925839,2.842680638,2.563502406,1.86795552,0.911865595,-1.076700086,-3.387435664,1.7182013,0.822277546,1.508614153,1.145053236,1.78278554,2.158873603,0.912035068,1.725873015,2.391099533,1.6781254
