country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
canada,2259.294285,2240.433039,2268.585346,2374.498448,2555.111146,2770.361804,3047.106147,3217.159294,3462.678872,3763.953379,4121.932814,4520.162878,5089.587902,5838.660894,7033.011021,7511.211343,8809.26466,8919.057461,9123.691334,10043.66096,11170.56397,12337.46625,12481.87479,13425.12249,13877.91708,14114.80776,14461.06924,16308.96697,18936.9641,20715.63148,21448.36196,21768.34329,20879.84833,20121.16125,19935.38146,20613.78788,21227.34753,21829.23344,20952.06946,22238.66454,24190.24962,23738.18072,24169.28473,28200.65808,32034.30774,36266.18712,40385.86996,44543.04104,46594.45095,40773.06153,47448.01322,52087.44638,52678.39012,52652.59368,50893.44671,43585.51198,42322.48478,45148.55271,46313.17137,46194.72523
germany,,,,,,,,,,,2761.166833,3192.133616,3809.981445,5046.755103,5639.077621,6236.358881,6634.856899,7682.953775,9482.04285,11281.02332,12138.3081,10209.07312,9913.737642,9864.34494,9313.169412,9429.569217,13461.831,16677.51079,17931.28232,17764.37645,22303.96133,23357.75773,26438.23039,25522.62957,27076.60675,31658.34938,30485.86655,26964.04947,27289.05936,26725.91522,23635.92922,23607.88286,25077.72908,30243.57653,34044.05363,34507.36881,36323.44774,41587.2129,45427.15168,41485.90165,41531.9342,46644.77603,43858.36306,46285.76407,47959.99327,41086.72967,42107.51727,44552.81937,47810.50767,46445.2491
eu,,,,,,,1339.628203,1444.856918,1536.75043,1701.377805,1879.713945,2114.065084,2533.947505,3258.892773,3667.765963,4246.460926,4421.381992,4983.701441,6044.239238,7274.494252,8101.186147,7034.358349,6761.536766,6560.978623,6306.74394,6471.091284,9023.121873,11128.43393,12177.53984,12397.40534,15460.19349,15964.35965,17498.23218,15925.3121,16829.45614,19466.41848,19752.42546,18088.83189,18615.50732,18477.22675,16909.87326,17184.93994,18682.1266,22922.75157,26263.75235,27333.07788,29070.23827,33551.63505,36914.33312,33362.82385,32939.9954,35721.53221,33159.11101,34563.74263,35242.19074,30469.62439,31172.22864,33080.91864,35733.716,34913.19156
france,1334.690056,1428.045487,1578.284604,1744.64059,1909.541232,2038.162734,2186.474852,2343.104226,2536.085065,2752.094954,2857.252176,3169.034992,3854.556784,4969.763912,5328.241747,6690.57827,6866.818286,7532.527928,9264.777834,11179.63127,12713.36125,11104.97773,10496.92987,9993.422074,9419.697648,9763.32861,13540.24708,16302.4414,17679.997,17694.30535,21793.84265,21675.06425,23813.71184,22380.10396,23496.52332,26890.21988,26871.82902,24228.94235,24974.2722,24673.19897,22364.02939,22433.55571,24177.33517,29568.38595,33741.26515,34760.18777,36443.62344,41508.43399,45334.11444,41575.41875,40638.334,43790.73205,40874.70351,42592.93409,43011.2631,36638.18493,37037.37419,38812.16103,41631.09074,40493.92857
uk,1397.594803,1472.385714,1525.775853,1613.456884,1748.288118,1873.567774,1986.747159,2058.781882,1951.758596,2100.667869,2347.544318,2649.801514,3030.432514,3426.276221,3665.862798,4299.745618,4138.167788,4681.439932,5976.938169,7804.762081,10032.06208,9599.306222,9146.077357,8691.518813,8179.194441,8652.216542,10611.11221,13118.58653,15987.16808,16239.2822,19095.467,19900.72665,20487.17079,18389.01957,19709.2381,23123.17779,24332.69777,26734.56261,28214.27436,28669.53969,28149.87001,27744.50646,30056.58622,34419.14791,40290.31397,42030.28661,44599.69757,50566.8266,47286.99849,38713.13743,39435.8399,42038.57225,42462.77157,43444.533,47425.60768,44974.83188,41064.13343,40361.41738,43043.22782,42330.11754
italy,804.4926233,887.3367446,990.2601522,1126.019337,1222.54454,1304.453817,1402.442354,1533.692877,1651.939377,1813.388126,2106.863959,2305.609751,2671.137314,3205.25204,3621.145822,4106.993868,4033.099354,4603.599701,5610.498099,6990.285807,8456.918974,7622.833328,7556.523437,7832.575387,7739.715284,7990.686566,11315.01518,14234.72864,15744.66126,16386.66221,20825.78422,21956.52977,23243.47453,18738.7639,19337.6309,20664.55227,23081.60468,21829.34582,22318.1373,21997.62432,20087.59199,20483.21599,22270.14412,27465.6753,31259.7165,32043.14037,33501.65817,37822.66524,40778.34274,37079.75867,36000.52012,38599.06221,35053.52624,35549.9747,35518.41529,30230.2263,30939.71425,32406.72032,34615.75689,33228.23668
japan,478.9953402,563.5867598,633.6403152,717.8669152,835.6572525,919.7766882,1058.503561,1228.90921,1450.619652,1669.0982,2037.559901,2272.077802,2967.041996,3997.84112,4353.824355,4659.120115,5197.806697,6335.787627,8821.843492,9105.136097,9465.379714,10361.32306,9578.113803,10425.40682,10984.86583,11584.64933,17111.85373,20745.25209,25051.85432,24813.29938,25359.34702,28925.04158,31464.54905,35765.91409,39268.56687,43440.36787,38436.92631,35021.71909,31902.7671,36026.55608,38532.04088,33846.46564,32289.35054,34808.39092,37688.72234,37217.64873,35433.98896,35275.22843,39339.29757,40855.17564,44507.67639,48167.99727,48603.47665,40454.44746,38109.41211,34524.46986,38761.81815,38386.51115,39159.42356,40246.88013
russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3777.235373,3428.762153,3492.710314,3490.452505,3098.802639,2930.670201,2662.104034,2665.779867,2643.929196,2737.572024,1834.861843,1330.757236,1771.594059,2100.352512,2377.529577,2975.125353,4102.364833,5323.463083,6920.189125,9101.255049,11635.27293,8562.813277,10674.99578,14311.08432,15420.87454,15974.64463,14095.64874,9313.013625,8704.898413,10720.33259,11370.81346,11584.99538
us,3007.123445,3066.562869,3243.843078,3374.515171,3573.941185,3827.52711,4146.316646,4336.426587,4695.92339,5032.144743,5234.296666,5609.3826,6094.01799,6726.358956,7225.69136,7801.456664,8592.253537,9452.576519,10564.94822,11674.18631,12574.79151,13976.10975,14433.78773,15543.89372,17121.22548,18236.82773,19071.22719,20038.9411,21417.01193,22857.15443,23888.60001,24342.2589,25418.99078,26387.29373,27694.85342,28690.8757,29967.71272,31459.13898,32853.67695,34513.5615,36334.90878,37133.24281,38023.16111,39496.48588,41712.80107,44114.74778,46298.73144,47975.9677,48382.55845,47099.98047,48467.51578,49886.81811,51610.60528,53117.66785,55064.74455,56839.38177,57951.58408,60062.22231,62996.47129,65297.51751
