Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Canada,2259.294285,2240.433039,2268.585346,2374.498448,2555.111146,2770.361804,3047.106147,3217.159294,3462.678872,3763.953379,4121.932809,4520.162865,5089.587925,5838.660912,7033.011034,7511.211347,8809.264639,8919.057457,9123.69133,10043.66094,11170.56397,12337.46625,12481.87479,13425.12249,13877.91708,14114.80776,14461.06924,16308.96697,18936.9641,20715.63148,21448.36196,21768.34329,20879.84833,20121.16125,19935.38146,20613.78788,21227.34753,21829.23344,20952.06946,22238.66454,24190.24962,23738.18072,24169.28473,28200.65808,32034.30774,36266.18712,40385.86996,44543.04104,46594.45095,40773.06153,47450.31847,52101.79609,52542.34666,52504.6557,50835.51118,43495.05439,42279.90082,45069.92725,46232.98962,
Germany,,,,,,,,,,,2761.166836,3192.133618,3809.981447,5046.755107,5639.077618,6236.358885,6634.856899,7682.953776,9482.042846,11281.02332,12138.3081,10209.07311,9913.737644,9864.34494,9313.169414,9429.569213,13461.83101,16677.51079,17931.28233,17764.37644,22303.96133,23357.75773,26438.23039,25522.62957,27076.60675,31658.34938,30485.86655,26964.04947,27289.05936,26725.91522,23635.92922,23607.88286,25077.72908,30243.57653,34044.05363,34507.36881,36323.44774,41587.2129,45427.15168,41485.90165,41531.9342,46644.77603,43858.36306,46285.76407,47959.99327,41139.54457,42098.92045,44240.04411,47603.02763,
European Union,890.4056232,959.7100436,1037.326025,1135.194356,1245.49861,1346.058492,1448.551117,1546.803836,1602.060298,1762.472454,1950.731923,2195.144743,2611.728778,3296.934597,3685.59582,4274.046123,4406.238343,4968.9881,6064.882504,7377.165441,8384.718191,7391.077084,7093.702168,6859.96597,6572.019173,6775.646681,9265.923652,11432.22721,12711.95655,12936.45883,15989.22069,16496.51211,17919.02269,16256.42376,17194.11701,19898.44487,20295.1732,19121.20539,19763.50726,19698.89299,18261.96519,18457.88927,20055.32939,24310.25375,27960.04812,29115.62937,30960.56142,35630.93772,38185.6238,34019.27859,33740.64637,36506.63882,34328.82162,35683.85879,36787.23101,32319.45324,32425.13098,33907.99671,36569.73382,
France,1334.690056,1428.045487,1578.284604,1744.64059,1909.541232,2038.162734,2186.474852,2343.104226,2536.085065,2752.094954,2857.252176,3169.034992,3854.556784,4969.763912,5328.241747,6690.57827,6866.818286,7532.527928,9264.777834,11179.63127,12713.36125,11104.97773,10496.92987,9993.422074,9419.697648,9763.32861,13540.24708,16302.4414,17679.997,17694.30535,21793.84265,21675.06425,23813.71184,22380.10396,23496.52332,26890.21988,26871.82902,24228.94235,24974.2722,24673.19897,22364.02939,22433.55571,24177.33517,29568.38595,33741.26515,34760.18777,36443.62344,41508.43399,45334.11444,41575.41875,40638.334,43790.73205,40874.70351,42592.93409,43008.64738,36613.37522,36962.22229,38679.12715,41463.64402,
United Kingdom,1397.594803,1472.385714,1525.775853,1613.456884,1748.288118,1873.567774,1986.747159,2058.781882,1951.758596,2100.667869,2347.544318,2649.801514,3030.432514,3426.276221,3665.862798,4299.745618,4138.167788,4681.439932,5976.938169,7804.762081,10032.06208,9599.306222,9146.077357,8691.518813,8179.194441,8652.216542,10611.11221,13118.58653,15987.16808,16239.2822,19095.467,19900.72665,20487.17079,18389.01957,19709.2381,23123.17779,24332.69777,26734.56261,28214.27436,28669.53969,28149.87001,27744.50646,30056.58622,34419.14791,40290.31397,42030.28661,44599.69757,50566.8266,47286.99849,38713.13743,39435.8399,42038.50048,42462.71491,43444.56484,47417.63505,44966.10193,41074.16728,40361.41738,42943.90227,
Italy,804.4926233,887.3367446,990.2601522,1126.019337,1222.54454,1304.453817,1402.442354,1533.692877,1651.939377,1813.388126,2106.863953,2305.609774,2671.137308,3205.252065,3621.145839,4106.993857,4033.099367,4603.599693,5610.498107,6990.285794,8456.918982,7622.833328,7556.523429,7832.575389,7739.71528,7990.686562,11315.01517,14234.72865,15744.66127,16386.66222,20825.78421,21956.52976,23243.47454,18738.7639,19337.63091,20664.55227,23081.60468,21829.34582,22318.1373,21997.62432,20087.59199,20483.21599,22270.14412,27465.6753,31259.7165,32043.14037,33501.65817,37822.66524,40778.34274,37079.75867,36000.52012,38599.06221,35053.52624,35549.9747,35518.41529,30230.2263,30936.12544,32326.84175,34483.204,
Japan,478.9953402,563.5867598,633.6403152,717.8669152,835.6572525,919.7766882,1058.503561,1228.90921,1450.619652,1669.0982,2037.559901,2272.077802,2967.041996,3997.84112,4353.824355,4659.120115,5197.806697,6335.787627,8821.843492,9105.136097,9465.379714,10361.32306,9578.113803,10425.40682,10984.86583,11584.64933,17111.85373,20745.25209,25051.85432,24813.29938,25359.34702,28925.04158,31464.54905,35765.91409,39268.56687,43440.36787,38436.92631,35021.71909,31902.7671,36026.55608,38532.04088,33846.46564,32289.35054,34808.39092,37688.72234,37217.64873,35433.98896,35275.22843,39339.29757,40855.17564,44507.67639,48167.99727,48603.47665,40454.44746,38109.41211,34524.46986,38794.33094,38331.9794,39289.95843,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3777.235373,3428.762153,3485.112306,3485.056,3095.659779,2929.462119,2663.394599,2665.780963,2643.930749,2737.573023,1834.862986,1330.760707,1771.59783,2100.358253,2377.536957,2975.132778,4102.372294,5323.473877,6920.194398,9101.256706,11635.27424,8562.813697,10674.9972,14351.21205,15434.57478,16007.08999,14100.7291,9313.787542,8745.375116,10750.58712,11288.87244,
United States,3007.123445,3066.562869,3243.843078,3374.515171,3573.941185,3827.52711,4146.316646,4336.426587,4695.92339,5032.144743,5234.296666,5609.3826,6094.01799,6726.358956,7225.69136,7801.456664,8592.253537,9452.576519,10564.94822,11674.18631,12574.79151,13976.10975,14433.78773,15543.89372,17121.22548,18236.82773,19071.22719,20038.9411,21417.01193,22857.15443,23888.60001,24342.2589,25418.99078,26387.29373,27694.85342,28690.8757,29967.71272,31459.139,32853.67698,34513.5615,36334.90878,37133.24281,38023.16111,39496.48588,41712.80107,44114.74778,46298.73144,47975.96768,48382.55845,47099.98047,48466.82338,49883.11398,51603.49726,53106.90977,55032.958,56803.47243,57904.20196,59927.92983,62794.58565,
